Title,Company,Reward,Link
Java Software Engineer 팀원 (만 4년 이상),파킹허브,합격보상금 100만원,https://www.wanted.co.kr/wd/196743
Java 기반 백엔드 개발자,에이엔드,합격보상금 100만원,https://www.wanted.co.kr/wd/135767
"[기업부설연구소] 자사 웹/앱 플랫폼 개발팀장 [JAVA, SPRINGBOOT5+]",아인잡(AINJOB),합격보상금 100만원,https://www.wanted.co.kr/wd/140981
"[자사 웹/앱 플랫폼] 백엔드 개발리더 (자바,스프링부트, aws5년+)",아인잡(AINJOB),합격보상금 100만원,https://www.wanted.co.kr/wd/141909
Java 웹개발(팀장),위버로프트,합격보상금 100만원,https://www.wanted.co.kr/wd/173091
웹프로그래머 JAVA/JSP,비욘드테크,합격보상금 100만원,https://www.wanted.co.kr/wd/179381
Backend Engineer (Java/Kotlin) - Middle,센트비(Sentbe),합격보상금 100만원,https://www.wanted.co.kr/wd/229118
Java 백엔드 개발자,디카르고,합격보상금 100만원,https://www.wanted.co.kr/wd/226564
Java 개발자 (3-5년),스칼라데이터,합격보상금 100만원,https://www.wanted.co.kr/wd/225764
Backend Developer (Java) NEW,스위치원,합격보상금 100만원,https://www.wanted.co.kr/wd/222265
Jr. Backend Engineer (Java / Spring),테크타카(ARGO),합격보상금 100만원,https://www.wanted.co.kr/wd/97179
Java 주니어 개발자 (Back-end),유핀테크허브(유트랜스퍼),합격보상금 100만원,https://www.wanted.co.kr/wd/165762
"솔루션 개발 (자바, 스프링, 백엔드, 풀스택 - JAVA, Spring, Backend, Full Stack)",드림시스,합격보상금 100만원,https://www.wanted.co.kr/wd/227981
자율주행 데이터 솔루션 JAVA 백엔드 개발자,파트리지시스템즈,합격보상금 100만원,https://www.wanted.co.kr/wd/225977
[100억↑투자] Back-end Developer (Java/Kotlin),웨이브릿지,합격보상금 100만원,https://www.wanted.co.kr/wd/213950
Java Backend 서비스 개발자,트럼피아,합격보상금 100만원,https://www.wanted.co.kr/wd/228819
JAVA 개발자,미트박스글로벌,합격보상금 100만원,https://www.wanted.co.kr/wd/196516
[판교] 백엔드 JAVA 개발자,와따,합격보상금 100만원,https://www.wanted.co.kr/wd/37397
Sr. Backend engineer (JAVA),부릉,합격보상금 100만원,https://www.wanted.co.kr/wd/225139
[집품] Backend Developer (Java) - 1년 이상,넥스트그라운드,합격보상금 100만원,https://www.wanted.co.kr/wd/222386
